sr_no,timestamp,road_type,harsh_event,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,event_class
1,20-2-2023_14:59:34:791440,paved,sudden-acceleration,-0.12154425,0.35185284,3.53063392,-0.01043176,-0.00528060,-0.00196038,-97.24833679,69.41517639,91.70388031,0
2,20-2-2023_14:59:35:164868,paved,sudden-acceleration,-1.02208530,1.40567755,3.72223854,0.01380337,0.04958136,-0.00755311,-97.24833679,69.41517639,91.70388031,0
3,20-2-2023_14:59:35:180815,paved,sudden-acceleration,0.49159011,-0.67323117,-0.13859176,-0.03786274,-0.00421532,0.00389866,-95.65410614,69.41517639,93.34145355,0
4,20-2-2023_14:59:35:186822,paved,sudden-acceleration,-1.60647916,0.45723528,1.77745437,-0.02827521,0.00910069,0.00682818,-95.65410614,69.41517639,93.34145355,0
5,20-2-2023_14:59:35:202837,paved,sudden-acceleration,-2.50701999,0.58177824,4.18209075,-0.03599849,0.05251088,-0.00169406,-97.24833679,39.66582107,90.06630706,0
6,20-2-2023_14:59:35:202837,paved,sudden-acceleration,-1.18494915,0.04528564,4.11502838,-0.04079226,0.02534622,-0.00888471,-97.24833679,39.66582107,90.06630706,0
7,20-2-2023_14:59:35:210827,paved,sudden-acceleration,-0.61971592,1.53022050,0.66614913,-0.04851554,0.00856805,0.00283338,-95.65410614,59.49871826,91.70388031,0
8,20-2-2023_14:59:35:218825,paved,sudden-acceleration,-1.22327005,2.42118144,3.30071067,-0.05171138,0.03919487,0.00496394,-95.65410614,59.49871826,91.70388031,0
9,20-2-2023_14:59:35:226825,paved,sudden-acceleration,-0.96460399,2.03797245,0.07217407,-0.02294881,-0.01167228,0.00842610,-95.65410614,49.58227539,91.70388031,0
10,20-2-2023_14:59:35:258836,paved,sudden-acceleration,-2.42079806,1.23323345,3.31028938,-0.02188353,0.01682398,-0.00169406,-95.65410614,49.58227539,91.70388031,0
11,20-2-2023_14:59:35:306825,paved,sudden-acceleration,-1.79808378,1.13743126,0.56076622,-0.03120473,0.03013998,-0.00861839,-98.04545593,79.33162689,90.06630706,0
12,20-2-2023_14:59:35:362810,paved,sudden-acceleration,-1.29991197,0.44765510,3.04204368,-0.00590432,-0.00661220,-0.00568886,-98.04545593,79.33162689,90.06630706,0
