sr_no,timestamp,road_type,harsh_event,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,event_class
1,28-2-2023_15:51:42:620231,paved,cons-20-linechange,-1.45431637,-0.88434104,0.39852333,-0.05155692,0.02388519,0.00407923,-41.02352523,38.31356811,47.30400085,0
2,28-2-2023_15:51:43:4057,paved,cons-20-linechange,-1.64592099,-1.98606691,-0.80858612,-0.03051763,-0.03337364,0.01659628,-41.02352523,38.31356811,47.30400085,0
3,28-2-2023_15:51:43:11764,paved,cons-20-linechange,-0.91782388,-0.35742866,1.19368171,-0.00841305,-0.00807323,0.01473203,-39.38258743,35.91897201,47.30400085,0
4,28-2-2023_15:51:43:11764,paved,cons-20-linechange,-0.69747872,-0.84602012,-1.17263412,-0.06167708,-0.05627717,0.01100355,-39.38258743,35.91897201,47.30400085,0
5,28-2-2023_15:51:43:43810,paved,cons-20-linechange,-1.17648983,-2.67584323,-0.81816673,-0.09070598,0.00098166,0.00860667,-36.10070037,38.31356811,48.35520172,0
6,28-2-2023_15:51:43:51761,paved,cons-20-linechange,-1.81836490,-1.73698081,-0.11880875,-0.01853322,-0.00940483,0.00754139,-36.10070037,38.31356811,48.35520172,0
7,28-2-2023_15:51:43:59762,paved,cons-20-linechange,0.92157926,0.05452108,1.86429786,-0.04276835,-0.01313331,0.00487819,-41.02352523,38.31356811,47.30400085,0
8,28-2-2023_15:51:43:59762,paved,cons-20-linechange,-0.76454024,-0.42449021,-0.80858612,-0.05794860,0.00204694,0.01286779,-41.02352523,38.31356811,47.30400085,0
9,28-2-2023_15:51:43:67755,paved,cons-20-linechange,-0.56335549,-0.78853869,-0.17629051,0.01369152,-0.00754059,0.02511852,-42.66446685,40.70816802,46.25280380,0
10,28-2-2023_15:51:43:91757,paved,cons-20-linechange,1.53471364,0.18864417,-0.21461105,-0.01587002,-0.01632915,0.01020459,-42.66446685,40.70816802,46.25280380,0
11,28-2-2023_15:51:43:147798,paved,cons-20-linechange,-1.19565033,-1.60285797,2.07506179,-0.05102428,-0.00780691,-0.01323158,-42.66446685,35.91897201,47.30400085,0
