sr_no,timestamp,road_type,harsh_event,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,event_class
1,20-2-2023_14:56:29:238927,paved,sudden-acceleration,0.03518814,0.55235743,-2.22577667,-0.06172875,0.00152255,-0.00485928,-42.28265380,-55.38444519,53.18825531,0
2,20-2-2023_14:56:29:637931,paved,sudden-acceleration,-0.23305816,0.32243204,0.05431747,-0.05879922,0.00152255,0.00313033,-42.28265380,-55.38444519,53.18825531,0
3,20-2-2023_14:56:29:652906,paved,sudden-acceleration,0.22679259,0.74396190,-1.66054153,-0.03642833,0.00551735,0.00286401,-57.65816879,-51.69215011,53.18825531,0
4,20-2-2023_14:56:29:659914,paved,sudden-acceleration,-0.98989591,1.21339297,-1.28691482,-0.01592168,0.02282816,0.00819041,-57.65816879,-51.69215011,53.18825531,0
5,20-2-2023_14:56:29:675969,paved,sudden-acceleration,-0.47256379,-0.95173788,0.79199600,-0.02337865,0.01164272,0.00552721,-53.81429290,-52.92291641,53.18825531,0
6,20-2-2023_14:56:29:683921,paved,sudden-acceleration,-0.55878586,0.29369134,0.47584915,-0.02870505,-0.00034169,-0.00166344,-53.81429290,-52.92291641,53.18825531,0
7,20-2-2023_14:56:29:691921,paved,sudden-acceleration,-0.33844065,0.37033314,0.98359870,-0.03003665,-0.00646705,-0.00619088,-38.43877792,-52.92291641,50.97207641,0
8,20-2-2023_14:56:29:699917,paved,sudden-acceleration,-0.23305816,-1.03795981,0.47584915,-0.00686680,-0.00273857,-0.00086448,-38.43877792,-52.92291641,50.97207641,0
9,20-2-2023_14:56:29:699917,paved,sudden-acceleration,-0.67374854,-0.54936838,1.34764671,0.00112281,-0.02910427,0.01085361,-49.97041702,-54.15368270,52.08016586,0
10,20-2-2023_14:56:29:707915,paved,sudden-acceleration,-0.54920558,-1.44032955,-0.89412307,-0.03110193,-0.00300489,0.01458209,-49.97041702,-54.15368270,52.08016586,0
11,20-2-2023_14:56:29:763935,paved,sudden-acceleration,-0.46298356,-2.18758678,-0.92286491,-0.02098177,-0.00486913,0.01085361,-49.97041702,-52.92291641,50.97207641,0
12,20-2-2023_14:56:29:813959,paved,sudden-acceleration,0.08308923,-1.64151406,-0.30014991,-0.05507075,0.00045727,-0.00166344,-49.97041702,-52.92291641,50.97207641,0
13,20-2-2023_14:56:29:869963,paved,sudden-acceleration,-0.60668687,-2.26422858,-2.25451660,-0.06172875,0.01696912,-0.00326136,-53.81429290,-51.69215011,47.64780807,0
14,20-2-2023_14:56:29:917983,paved,sudden-acceleration,-0.96115522,-1.32536673,-1.97669029,-0.03616201,0.00631631,0.00765777,-53.81429290,-51.69215011,47.64780807,0
15,20-2-2023_14:56:29:965933,paved,sudden-acceleration,-0.16599660,0.40865402,-2.66646575,-0.04788010,0.00658264,0.00739145,-42.28265380,-55.38444519,52.08016586,0
16,20-2-2023_14:56:30:21938,paved,sudden-acceleration,-0.89409370,-0.31944298,-2.02459144,-0.04734746,0.04200321,0.00526089,-42.28265380,-55.38444519,52.08016586,0
17,20-2-2023_14:56:30:69964,paved,sudden-acceleration,-0.41508240,-0.12783849,-2.91555213,-0.04841274,-0.00646705,-0.00432664,-49.97041702,-55.38444519,49.86398696,0
18,20-2-2023_14:56:30:125916,paved,sudden-acceleration,0.13099038,-0.44398593,-1.01866722,-0.05400547,0.01164272,-0.00512560,-49.97041702,-55.38444519,49.86398696,0
19,20-2-2023_14:56:30:181913,paved,sudden-acceleration,-0.76955075,-0.28112209,-0.62587738,-0.05906555,0.02415977,-0.00059816,-53.81429290,-50.46138381,53.18825531,0
20,20-2-2023_14:56:30:229909,paved,sudden-acceleration,-0.79829139,-0.84635543,0.27466201,-0.01086160,-0.00646705,0.00579353,-53.81429290,-50.46138381,53.18825531,0
21,20-2-2023_14:56:30:277898,paved,sudden-acceleration,-0.39592199,-0.57810916,-0.60671806,-0.01938385,-0.01525562,0.00499457,-46.12653350,-54.15368270,52.08016586,0
