sr_no,timestamp,road_type,harsh_event,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,event_class
1,22-3-2023 19:17:43:965127,paved,sudden-brake,6.378057,-2.073927,-2.635117,-0.000860,0.034866,-0.023780,-35.640350,-36.623260,33.391063,0
2,22-3-2023 19:17:44:372866,paved,sudden-brake,-4.208090,4.411885,-2.692596,-0.069304,0.153644,-0.026443,-35.640350,-36.623260,33.391063,0
3,22-3-2023 19:17:44:372866,paved,sudden-brake,3.063300,-3.185233,1.905912,-0.037612,-0.079918,-0.019519,-24.948246,-38.031848,35.414768,0
4,22-3-2023 19:17:44:380884,paved,sudden-brake,1.338859,-3.530121,4.300966,-0.083952,-0.000821,-0.017122,-24.948246,-38.031848,35.414768,0
5,22-3-2023 19:17:44:388882,paved,sudden-brake,2.545968,-1.815261,1.206554,-0.015774,-0.062608,-0.005670,-32.076313,-36.623260,35.414768,0
6,22-3-2023 19:17:44:396885,paved,sudden-brake,-6.037913,0.991745,4.885361,0.039355,0.025811,0.014570,-32.076313,-36.623260,35.414768,0
7,22-3-2023 19:17:44:396885,paved,sudden-brake,-2.589033,-1.939804,-1.428007,-0.071701,-0.057015,0.003118,-35.640350,-35.214679,35.414768,0
8,22-3-2023 19:17:44:404883,paved,sudden-brake,2.948337,-2.006865,-4.455358,-0.137748,0.100114,-0.023780,-35.640350,-35.214679,35.414768,0
9,22-3-2023 19:17:44:404883,paved,sudden-brake,-0.088594,-1.681138,4.463831,-0.003257,-0.220535,-0.007268,-32.076313,-36.623260,35.414768,0
10,22-3-2023 19:17:44:412879,paved,sudden-brake,5.621220,-4.756390,-13.499091,-0.034416,0.067623,0.008711,-32.076313,-36.623260,35.414768,0
11,22-3-2023 19:17:44:428878,paved,sudden-brake,-1.065777,1.374954,0.382656,-0.172104,0.029007,0.008711,-35.640350,-39.440437,36.426616,0
12,22-3-2023 19:17:44:473779,paved,sudden-brake,3.705175,2.697025,-5.547503,-0.085283,0.101179,-0.028574,-35.640350,-39.440437,36.426616,0
13,22-3-2023 19:17:44:519966,paved,sudden-brake,0.706564,-4.449823,-7.501870,-0.155592,0.077211,-0.020584,-39.204387,-35.214679,35.414768,0
14,22-3-2023 19:17:44:567960,paved,sudden-brake,0.553281,0.483993,-0.230480,-0.135618,0.115028,-0.012861,-39.204387,-35.214679,35.414768,0
